State,Mask mandate,Travel restrictions
New Mexico,Yes – required in public spaces.,All travelers must self-quarantine for 14 days upon arrival. Travelers from states with a positivity rate under 5% do not have to self-quarantine. Travelers from states with COVID-19 positivity rates exceeding 5% can no longer present a recent negative coronavirus test to avoid New Mexico’s 14-day self-quarantine requirement. Essential workers traveling to the state for professional purposes are exempt.
New York,Yes – required for anyone over age 2 in public spaces where social distancing is not possible.,"Travelers are required to take a COVID-19 tests before travelling and after arriving and must have negative test results within three days of arrival. The test can be taken up to three days before traveling, and upon arriving in New York, the traveler must quarantine for three days and then take another test on the fourth day. If the test comes back negative, the traveler must quarantine for 14 additional days. Travelers who choose not to get tested must quarantine for 14 days. New Yorkers who travel out of state for less than 24 hours must also take a test within four days of their return - travelers to NJ, CT and PA are exempt from this requirement."
North Carolina,Yes – required for people over age 2 in public spaces.,There are no statewide restrictions.
North Dakota,"Yes – On Nov. 14, Gov. Doug Burgum enacted a mandate requiring the wearing of masks in businesses and indoor spaces.",There are no statewide restrictions.
Ohio,"Yes – required for people age 10 and older at in-door public spaces and outdoors when unable to maintain social distancing. On Nov. 11, Gov. Mike DeWine issed an executive order authorizing the Ohio Bureau of Workers’ Compensation to close businesses for up to 24 hours that receive a violation for not enforcing face coverings.",Travelers from states reporting positive testing rates of 15% or more must self-quarantine for 14 days.
Oklahoma,No,There are no statewide restrictions.
Oregon,Yes – required in public spaces for people ages 5 and older.,"Out-of-state travelers must quarantine for 14 days upon arrival, and people should limit non-essential travel."
Pennsylvania,Yes – required for anyone age 2 or older in public spaces,Out-of-state travelers and returning residents must quarantine for 14 days upon arrival unless they can show evidence of a negative test within 72-hours of entering the state.
Rhode Island,"Yes – On Nov. 5, 2020, Gov. Raimondo announced additional measures requiring face coverings in public settings, regardless of the ability to maintain physical distance.","Travelers from states with a positivity rate of COVID-19 greater than 5% must show a recent negative COVID-19 result, take a COVID-19 test upon arrival and quarantine until recieving negative results, or self-quarantine for 14 days. A complete list of states can be found here."
South Carolina,"Yes – required in all restaurants, entertainment venues, and government buildings.",There are no statewide restrictions.
South Dakota,No,There are no statewide restrictions.
Tennessee,No,There are no statewide restrictions.
Texas,Yes – required in all counties with more than 20 cases for people over age 10.,There are no statewide restrictions.
Utah,"Yes – Gov. Gary Herbert ordered a statewide mask mandate effective Nov. 9, 2020 to last indefinitely.",There are no statewide restrictions.
Vermont,Yes – required for anyone age 2 or older when in public spaces where unable to maintain social distancing.,"On Nov. 10, Gov. Phil Scott strengthened travel restrictions so all travelers going in or out of Vermont for nonessential reasons are required to quarantine. Previously, travelers driving must either quarantine for 14 days before the trip, or quarantine for seven days if able to show proof of negative test results upon entering Vermont. Travelers flying or taking the train or a bus into the state must either quarantine for 14 days or quarantine for seven days and get negative COVID-19 test results at the end of isolation. Travelers driving to Vermont from a county in a Northeastern state that has less than 400 active cases per million residents are exempt."
Virginia,"Yes – On Nov. 15, Gov. Ralph Northam lowered the mask exemption age from 10 to 5. Masks are required in public indoor spaces",There are no statewide restrictions.
Washington,Yes – required for anyone age 5 or older in any indoor public space.,"Out-of-state travelers must quarantine for 14 days upon arrival, and people should limit non-essential travel."
West Virginia,Yes – required for anyone age 9 or older in all indoor public spaces at all times unless eating or drinking.,There are no statewide restrictions.
Wisconsin,Yes – required for anyone age 5 or older in public indoor or enclosed spaces.,"The state encourages travelers to check themselves for symptoms of COVID-19 and to stay home as much as possible for 14 days, but there is no mandatory restriction in place."
Wyoming,No,There are no statewide restrictions.
